n,a,m2,contagious_set,computation_time,timestamp
16,12,3,"[0, 5, 10]",0.0008575916290283203,2025-12-17T21:45:37.218400
16,14,3,"[0, 5, 10]",0.0008726119995117188,2025-12-17T21:45:37.219284
16,15,2,"[8, 12]",0.00030541419982910156,2025-12-17T21:45:37.219602
17,1,2,"[0, 2]",0.0002598762512207031,2025-12-17T21:45:37.219884
17,2,3,"[0, 5, 10]",0.0009043216705322266,2025-12-17T21:45:37.220800
17,4,3,"[0, 5, 10]",0.0009126663208007812,2025-12-17T21:45:37.221726
17,5,3,"[0, 3, 11]",0.0011239051818847656,2025-12-17T21:45:37.222868
17,6,2,"[0, 8]",0.00014972686767578125,2025-12-17T21:45:37.223043
17,7,2,"[0, 3]",0.0002028942108154297,2025-12-17T21:45:37.223260
17,8,2,"[1, 13]",0.0002963542938232422,2025-12-17T21:45:37.223571
17,9,2,"[1, 13]",0.0002932548522949219,2025-12-17T21:45:37.223879
17,10,2,"[0, 3]",0.00020074844360351562,2025-12-17T21:45:37.224092
17,11,2,"[0, 8]",0.00014328956604003906,2025-12-17T21:45:37.224247
17,12,3,"[0, 3, 11]",0.0010597705841064453,2025-12-17T21:45:37.225319
17,13,3,"[0, 5, 10]",0.0009806156158447266,2025-12-17T21:45:37.226315
17,15,3,"[0, 5, 10]",0.0008769035339355469,2025-12-17T21:45:37.227210
17,16,2,"[0, 2]",0.00025534629821777344,2025-12-17T21:45:37.227481
18,1,2,"[0, 2]",0.0002636909484863281,2025-12-17T21:45:37.227771
18,2,3,"[0, 1, 2]",0.0009615421295166016,2025-12-17T21:45:37.228747
18,4,3,"[0, 1, 2]",0.0009374618530273438,2025-12-17T21:45:37.229697
18,5,2,"[0, 2]",0.000270843505859375,2025-12-17T21:45:37.229981
18,7,2,"[13, 17]",0.00029730796813964844,2025-12-17T21:45:37.230291
18,8,3,"[2, 3, 13]",0.0011174678802490234,2025-12-17T21:45:37.231421
18,10,3,"[2, 3, 13]",0.0011684894561767578,2025-12-17T21:45:37.232602
18,11,2,"[13, 17]",0.0002980232238769531,2025-12-17T21:45:37.232917
18,13,2,"[0, 2]",0.00026917457580566406,2025-12-17T21:45:37.233198
18,14,3,"[0, 1, 2]",0.0009522438049316406,2025-12-17T21:45:37.234162
18,16,3,"[0, 1, 2]",0.000978708267211914,2025-12-17T21:45:37.235160
18,17,2,"[0, 2]",0.00026917457580566406,2025-12-17T21:45:37.235446
19,1,2,"[2, 6]",0.00040340423583984375,2025-12-17T21:45:37.235876
19,2,3,"[0, 1, 2]",0.0010979175567626953,2025-12-17T21:45:37.237028
19,4,3,"[0, 6, 12]",0.0009636878967285156,2025-12-17T21:45:37.238011
19,5,3,"[0, 6, 12]",0.0015873908996582031,2025-12-17T21:45:37.239623
19,6,2,"[0, 9]",0.0001575946807861328,2025-12-17T21:45:37.239828
19,7,3,"[0, 6, 12]",0.0009489059448242188,2025-12-17T21:45:37.240798
19,8,2,"[0, 3]",0.00022745132446289062,2025-12-17T21:45:37.241039
19,9,2,"[7, 13]",0.00034546852111816406,2025-12-17T21:45:37.241397
19,10,2,"[7, 13]",0.00034236907958984375,2025-12-17T21:45:37.241751
19,11,2,"[0, 3]",0.0002129077911376953,2025-12-17T21:45:37.241978
19,12,3,"[0, 6, 12]",0.0009450912475585938,2025-12-17T21:45:37.242936
19,13,2,"[0, 9]",0.0001480579376220703,2025-12-17T21:45:37.243102
19,14,3,"[0, 6, 12]",0.0009620189666748047,2025-12-17T21:45:37.244076
19,15,3,"[0, 6, 12]",0.0009441375732421875,2025-12-17T21:45:37.245039
19,17,3,"[0, 1, 2]",0.0011148452758789062,2025-12-17T21:45:37.246182
19,18,2,"[2, 6]",0.0002982616424560547,2025-12-17T21:45:37.246526
20,1,2,"[2, 18]",0.0002980232238769531,2025-12-17T21:45:37.246860
20,2,3,"[0, 1, 2]",0.0010154247283935547,2025-12-17T21:45:37.247892
20,4,3,"[0, 6, 12]",0.0009331703186035156,2025-12-17T21:45:37.248840
20,5,3,"[0, 6, 12]",0.0009937286376953125,2025-12-17T21:45:37.249846
20,6,2,"[0, 3]",0.0002238750457763672,2025-12-17T21:45:37.250090
20,7,2,"[0, 10]",0.0001277923583984375,2025-12-17T21:45:37.250231
20,8,3,"[0, 6, 12]",0.0009875297546386719,2025-12-17T21:45:37.251231
20,9,2,"[3, 17]",0.00027751922607421875,2025-12-17T21:45:37.251527
20,11,2,"[3, 17]",0.0002753734588623047,2025-12-17T21:45:37.251816
20,12,3,"[0, 6, 12]",0.0009937286376953125,2025-12-17T21:45:37.252825
20,13,2,"[0, 10]",0.0001342296600341797,2025-12-17T21:45:37.252978
20,14,2,"[0, 3]",0.00021457672119140625,2025-12-17T21:45:37.253205
20,15,3,"[0, 6, 12]",0.0010380744934082031,2025-12-17T21:45:37.254255
20,16,3,"[0, 6, 12]",0.001016855239868164,2025-12-17T21:45:37.255299
20,18,3,"[0, 1, 2]",0.0010323524475097656,2025-12-17T21:45:37.256350
20,19,2,"[2, 18]",0.0003006458282470703,2025-12-17T21:45:37.256669
21,1,2,"[3, 20]",0.0002722740173339844,2025-12-17T21:45:37.256968
21,2,3,"[0, 1, 2]",0.0010259151458740234,2025-12-17T21:45:37.258008
21,4,3,"[0, 7, 14]",0.0010037422180175781,2025-12-17T21:45:37.259028
21,5,3,"[3, 4, 17]",0.001245737075805664,2025-12-17T21:45:37.260287
21,7,4,"[0, 1, 2, 6]",0.002961397171020508,2025-12-17T21:45:37.263262
21,8,2,"[0, 10]",0.00016951560974121094,2025-12-17T21:45:37.263453
21,10,3,"[0, 7, 14]",0.0010445117950439453,2025-12-17T21:45:37.264510
21,11,3,"[0, 7, 14]",0.0010080337524414062,2025-12-17T21:45:37.265535
21,13,2,"[0, 10]",0.00016307830810546875,2025-12-17T21:45:37.265710
21,14,4,"[0, 1, 2, 6]",0.003258228302001953,2025-12-17T21:45:37.268982
21,16,3,"[3, 4, 17]",0.0013990402221679688,2025-12-17T21:45:37.270422
21,17,3,"[0, 7, 14]",0.0010325908660888672,2025-12-17T21:45:37.271491
21,19,3,"[0, 1, 2]",0.001007080078125,2025-12-17T21:45:37.272515
21,20,2,"[3, 20]",0.00026988983154296875,2025-12-17T21:45:37.272804
22,1,2,"[3, 21]",0.0003085136413574219,2025-12-17T21:45:37.273145
22,2,3,"[0, 1, 2]",0.0010371208190917969,2025-12-17T21:45:37.274200
22,4,3,"[0, 7, 14]",0.0010247230529785156,2025-12-17T21:45:37.275240
22,5,3,"[0, 7, 14]",0.001016855239868164,2025-12-17T21:45:37.276271
22,6,2,"[0, 3]",0.00024247169494628906,2025-12-17T21:45:37.276528
22,7,3,"[3, 17, 21]",0.0012640953063964844,2025-12-17T21:45:37.277805
22,8,2,"[0, 11]",0.00013256072998046875,2025-12-17T21:45:37.277951
22,9,2,"[7, 13]",0.0003993511199951172,2025-12-17T21:45:37.278365
22,10,3,"[0, 7, 14]",0.0010223388671875,2025-12-17T21:45:37.279400
22,12,3,"[0, 7, 14]",0.0010037422180175781,2025-12-17T21:45:37.280417
22,13,2,"[7, 13]",0.0003924369812011719,2025-12-17T21:45:37.280823
22,14,2,"[0, 11]",0.00012493133544921875,2025-12-17T21:45:37.280960
22,15,3,"[3, 17, 21]",0.0012438297271728516,2025-12-17T21:45:37.282216
22,16,2,"[0, 3]",0.00023555755615234375,2025-12-17T21:45:37.282465
22,17,3,"[0, 7, 14]",0.0010170936584472656,2025-12-17T21:45:37.283497
22,18,3,"[0, 7, 14]",0.0010297298431396484,2025-12-17T21:45:37.284540
22,20,3,"[0, 1, 2]",0.0011491775512695312,2025-12-17T21:45:37.285702
22,21,2,"[3, 21]",0.00030612945556640625,2025-12-17T21:45:37.286030
23,1,2,"[2, 6]",0.0003788471221923828,2025-12-17T21:45:37.286438
23,2,3,"[0, 1, 2]",0.001104593276977539,2025-12-17T21:45:37.287558
23,4,3,"[2, 13, 18]",0.0013935565948486328,2025-12-17T21:45:37.288965
23,5,3,"[4, 6, 8]",0.0014100074768066406,2025-12-17T21:45:37.290391
23,6,2,"[0, 11]",0.0001704692840576172,2025-12-17T21:45:37.290575
23,7,3,"[4, 7, 8]",0.0012385845184326172,2025-12-17T21:45:37.291827
23,8,3,"[5, 6, 11]",0.0018763542175292969,2025-12-17T21:45:37.293717
23,9,2,"[0, 11]",0.0001780986785888672,2025-12-17T21:45:37.293912
23,10,2,"[0, 3]",0.00024580955505371094,2025-12-17T21:45:37.294172
23,11,3,"[3, 17, 21]",0.0014233589172363281,2025-12-17T21:45:37.295612
23,12,3,"[3, 17, 21]",0.0014002323150634766,2025-12-17T21:45:37.297028
23,13,2,"[0, 3]",0.0002505779266357422,2025-12-17T21:45:37.297302
23,14,2,"[0, 11]",0.00015878677368164062,2025-12-17T21:45:37.297478
23,15,3,"[5, 6, 11]",0.0019834041595458984,2025-12-17T21:45:37.299481
23,16,3,"[4, 7, 8]",0.0016739368438720703,2025-12-17T21:45:37.301233
23,17,2,"[0, 11]",0.00017786026000976562,2025-12-17T21:45:37.301440
23,18,3,"[4, 6, 8]",0.0013580322265625,2025-12-17T21:45:37.302817
23,19,3,"[2, 13, 18]",0.001375436782836914,2025-12-17T21:45:37.304211
23,21,3,"[0, 1, 2]",0.001085519790649414,2025-12-17T21:45:37.305315
23,22,2,"[2, 6]",0.00034689903259277344,2025-12-17T21:45:37.305678
24,1,2,"[3, 23]",0.00033020973205566406,2025-12-17T21:45:37.306036
24,2,3,"[0, 1, 2]",0.001134634017944336,2025-12-17T21:45:37.307186
24,4,4,"[0, 1, 2, 3]",0.0028007030487060547,2025-12-17T21:45:37.309999
24,5,3,"[0, 8, 16]",0.0010135173797607422,2025-12-17T21:45:37.311027
24,7,2,"[3, 23]",0.0003352165222167969,2025-12-17T21:45:37.311376
24,8,5,"[0, 1, 2, 6, 7]",0.004950523376464844,2025-12-17T21:45:37.316340
24,10,3,"[0, 3, 20]",0.001329660415649414,2025-12-17T21:45:37.317690
24,11,3,"[0, 8, 16]",0.0010256767272949219,2025-12-17T21:45:37.318752
24,13,3,"[0, 8, 16]",0.0010051727294921875,2025-12-17T21:45:37.319782
24,14,3,"[0, 3, 20]",0.0012507438659667969,2025-12-17T21:45:37.321086
24,16,5,"[0, 1, 2, 6, 7]",0.005007028579711914,2025-12-17T21:45:37.326117
24,17,2,"[3, 23]",0.0003497600555419922,2025-12-17T21:45:37.326508
24,19,3,"[0, 8, 16]",0.0010497570037841797,2025-12-17T21:45:37.327573
24,20,4,"[0, 1, 2, 3]",0.0029184818267822266,2025-12-17T21:45:37.330506
24,22,3,"[0, 1, 2]",0.0011990070343017578,2025-12-17T21:45:37.331720
24,23,2,"[3, 23]",0.0003821849822998047,2025-12-17T21:45:37.332129
25,1,2,"[0, 23]",0.0003273487091064453,2025-12-17T21:45:37.332503
25,2,3,"[0, 1, 2]",0.0011439323425292969,2025-12-17T21:45:37.333665
25,4,4,"[0, 6, 12, 18]",0.0029287338256835938,2025-12-17T21:45:37.336616
25,5,4,"[0, 6, 12, 18]",0.0027551651000976562,2025-12-17T21:45:37.339390
25,6,2,"[0, 12]",0.00017404556274414062,2025-12-17T21:45:37.339579
25,7,3,"[0, 8, 18]",0.0015799999237060547,2025-12-17T21:45:37.341173
25,8,3,"[4, 7, 23]",0.0013897418975830078,2025-12-17T21:45:37.342577
25,9,2,"[0, 12]",0.00016832351684570312,2025-12-17T21:45:37.342764
25,10,3,"[7, 13, 14]",0.0015594959259033203,2025-12-17T21:45:37.344338
25,11,2,"[0, 3]",0.0002598762512207031,2025-12-17T21:45:37.344613
25,12,3,"[4, 7, 23]",0.0015034675598144531,2025-12-17T21:45:37.346130
25,13,3,"[4, 7, 23]",0.0017287731170654297,2025-12-17T21:45:37.347875
25,14,2,"[0, 3]",0.00027489662170410156,2025-12-17T21:45:37.348189
25,15,3,"[7, 13, 14]",0.0019826889038085938,2025-12-17T21:45:37.350189
25,16,2,"[0, 12]",0.00016641616821289062,2025-12-17T21:45:37.350379
25,17,3,"[4, 7, 23]",0.0013146400451660156,2025-12-17T21:45:37.351708
25,18,3,"[0, 8, 18]",0.00151824951171875,2025-12-17T21:45:37.353241
25,19,2,"[0, 12]",0.00017023086547851562,2025-12-17T21:45:37.353429
25,20,4,"[0, 6, 12, 18]",0.0027604103088378906,2025-12-17T21:45:37.356203
25,21,4,"[0, 6, 12, 18]",0.0029189586639404297,2025-12-17T21:45:37.359137
25,23,3,"[0, 1, 2]",0.001165151596069336,2025-12-17T21:45:37.360316
25,24,2,"[0, 23]",0.00030303001403808594,2025-12-17T21:45:37.360632
26,1,2,"[21, 23]",0.0003743171691894531,2025-12-17T21:45:37.361034
26,2,3,"[0, 1, 2]",0.0012102127075195312,2025-12-17T21:45:37.362258
26,4,4,"[0, 6, 12, 18]",0.003103017807006836,2025-12-17T21:45:37.365379
26,5,3,"[0, 8, 16]",0.0011932849884033203,2025-12-17T21:45:37.366628
26,6,2,"[0, 3]",0.0002872943878173828,2025-12-17T21:45:37.366943
26,7,3,"[7, 8, 23]",0.001377105712890625,2025-12-17T21:45:37.368339
26,8,3,"[7, 8, 23]",0.001331329345703125,2025-12-17T21:45:37.369686
26,9,2,"[3, 23]",0.0003457069396972656,2025-12-17T21:45:37.370046
26,10,2,"[0, 13]",0.00012922286987304688,2025-12-17T21:45:37.370189
26,11,3,"[3, 21, 23]",0.0014469623565673828,2025-12-17T21:45:37.371648
26,12,3,"[0, 3, 20]",0.0014998912811279297,2025-12-17T21:45:37.373163
26,14,3,"[0, 3, 20]",0.0014758110046386719,2025-12-17T21:45:37.374658
26,15,3,"[3, 21, 23]",0.001466512680053711,2025-12-17T21:45:37.376139
26,16,2,"[0, 13]",0.00014281272888183594,2025-12-17T21:45:37.376295
26,17,2,"[3, 23]",0.0003535747528076172,2025-12-17T21:45:37.376662
26,18,3,"[7, 8, 23]",0.0013773441314697266,2025-12-17T21:45:37.378054
26,19,3,"[7, 8, 23]",0.0014367103576660156,2025-12-17T21:45:37.379505
26,20,2,"[0, 3]",0.0002689361572265625,2025-12-17T21:45:37.379804
26,21,3,"[0, 8, 16]",0.0011172294616699219,2025-12-17T21:45:37.380935
26,22,4,"[0, 6, 12, 18]",0.0029413700103759766,2025-12-17T21:45:37.383892
26,24,3,"[0, 1, 2]",0.001249074935913086,2025-12-17T21:45:37.385159
26,25,2,"[21, 23]",0.00037384033203125,2025-12-17T21:45:37.385546
27,1,2,"[0, 23]",0.0003337860107421875,2025-12-17T21:45:37.385914
27,2,3,"[0, 1, 2]",0.0012233257293701172,2025-12-17T21:45:37.387152
