n,a,m2,is_valid,contagious_set
5,7,,False,
6,7,,False,
7,7,,False,
8,7,2.0,True,"[0, 2]"
9,7,2.0,True,"[0, 1]"
10,7,,False,
11,7,2.0,True,"[0, 1]"
12,7,2.0,True,"[0, 2]"
13,7,2.0,True,"[0, 6]"
14,7,,False,
15,7,3.0,True,"[0, 5, 10]"
16,7,2.0,True,"[3, 13]"
17,7,2.0,True,"[0, 3]"
18,7,2.0,True,"[13, 17]"
19,7,3.0,True,"[0, 6, 12]"
20,7,2.0,True,"[0, 10]"
21,7,4.0,True,"[0, 1, 2, 6]"
22,7,3.0,True,"[3, 17, 21]"
23,7,3.0,True,"[4, 7, 8]"
24,7,2.0,True,"[3, 23]"
25,7,3.0,True,"[0, 8, 18]"
26,7,3.0,True,"[7, 8, 23]"
27,7,3.0,True,"[7, 13, 14]"
28,7,4.0,True,"[2, 3, 11, 12]"
29,7,4.0,True,"[2, 13, 17, 18]"
30,7,3.0,True,"[0, 10, 20]"
31,7,3.0,True,"[0, 10, 20]"
32,7,3.0,True,"[0, 17, 28]"
33,7,4.0,True,"[1, 7, 15, 17]"
34,7,3.0,True,"[2, 16, 22]"
35,7,5.0,True,"[1, 2, 5, 13, 14]"
36,7,4.0,True,"[9, 13, 17, 21]"
37,7,4.0,True,"[1, 7, 15, 17]"
38,7,3.0,True,"[16, 27, 37]"
39,7,4.0,True,"[9, 10, 27, 38]"
40,7,4.0,True,"[0, 10, 20, 30]"
41,7,4.0,True,"[0, 10, 20, 30]"
42,7,5.0,True,"[4, 10, 34, 38, 40]"
43,7,5.0,True,"[5, 6, 8, 14, 34]"
44,7,4.0,True,"[1, 7, 17, 40]"
45,7,4.0,True,"[10, 21, 27, 44]"
46,7,5.0,True,"[6, 8, 14, 34, 43]"
47,7,5.0,True,"[1, 7, 15, 17, 40]"
48,7,5.0,True,"[0, 10, 21, 27, 44]"
49,7,5.0,True,"[5, 6, 14, 18, 42]"
50,7,5.0,True,"[0, 10, 20, 30, 40]"
51,7,5.0,True,"[0, 10, 20, 30, 40]"
52,7,5.0,True,"[9, 10, 23, 34, 48]"
53,7,5.0,True,"[9, 10, 23, 34, 48]"
54,7,5.0,True,"[0, 10, 20, 30, 40]"
55,7,5.0,True,"[5, 14, 18, 49, 54]"
56,7,6.0,True,"[6, 8, 14, 43, 47, 53]"
57,7,5.0,True,"[4, 10, 34, 38, 40]"
58,7,5.0,True,"[16, 27, 37, 47, 57]"
59,7,6.0,True,"[6, 8, 14, 43, 47, 56]"
60,7,5.0,True,"[17, 23, 29, 40, 53]"
61,7,5.0,True,"[17, 23, 29, 40, 53]"
62,7,5.0,True,"[0, 16, 46, 56, 61]"
63,7,5.0,True,"[5, 14, 18, 54, 55]"
64,7,6.0,True,"[0, 10, 20, 30, 40, 50]"
65,7,5.0,True,"[13, 19, 27, 35, 43]"
66,7,5.0,True,"[13, 19, 27, 35, 43]"
67,7,5.0,True,"[13, 19, 27, 35, 43]"
68,7,5.0,True,"[13, 19, 27, 35, 43]"
69,7,5.0,True,"[13, 19, 27, 35, 43]"
70,7,5.0,True,"[11, 13, 17, 54, 69]"
71,7,6.0,True,"[3, 4, 11, 13, 54, 69]"
72,7,5.0,True,"[8, 10, 16, 62, 68]"
73,7,6.0,True,"[6, 8, 14, 19, 20, 54]"
74,7,6.0,True,"[8, 32, 48, 49, 59, 67]"
75,7,6.0,True,"[8, 48, 49, 54, 59, 67]"
76,7,5.0,True,"[13, 19, 27, 35, 43]"
77,7,5.0,True,"[11, 13, 17, 69, 75]"
78,7,5.0,True,"[13, 19, 27, 35, 43]"
79,7,5.0,True,"[13, 19, 27, 35, 43]"
80,7,5.0,True,"[13, 19, 27, 35, 43]"
81,7,5.0,True,"[11, 13, 17, 69, 75]"
82,7,6.0,True,"[6, 14, 19, 20, 54, 76]"
83,7,5.0,True,"[9, 21, 68, 77, 81]"
84,7,6.0,True,"[39, 47, 51, 56, 57, 66]"
85,7,6.0,True,"[11, 13, 17, 54, 69, 75]"
86,7,6.0,True,"[3, 25, 69, 71, 77, 83]"
87,7,6.0,True,"[1, 6, 11, 12, 69, 83]"
88,7,6.0,True,"[11, 13, 17, 69, 75, 86]"
89,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
90,7,5.0,True,"[13, 19, 27, 35, 43]"
91,7,5.0,True,"[13, 19, 27, 35, 43]"
92,7,6.0,True,"[11, 13, 17, 69, 75, 86]"
93,7,6.0,True,"[11, 13, 19, 27, 35, 43]"
94,7,6.0,True,"[11, 13, 19, 27, 35, 43]"
95,7,5.0,True,"[13, 19, 27, 35, 43]"
96,7,5.0,True,"[13, 19, 27, 35, 43]"
97,7,5.0,True,"[13, 19, 27, 35, 43]"
98,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
99,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
100,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
101,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
102,7,6.0,True,"[6, 14, 19, 20, 80, 96]"
103,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
104,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
105,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
106,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
107,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
108,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
109,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
110,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
111,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
112,7,6.0,True,"[13, 19, 27, 35, 43, 97]"
113,7,6.0,True,"[13, 19, 27, 35, 43, 97]"
114,7,6.0,True,"[13, 19, 27, 35, 43, 97]"
115,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
116,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
117,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
118,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
119,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
120,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
121,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
122,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
123,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
124,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
125,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
126,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
127,7,6.0,True,"[25, 69, 71, 83, 89, 91]"
128,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
129,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
130,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
131,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
132,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
133,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
134,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
135,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
136,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
137,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
138,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
139,7,5.0,True,"[3, 12, 23, 25, 138]"
140,7,6.0,True,"[7, 8, 22, 26, 108, 139]"
141,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
142,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
143,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
144,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
145,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
146,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
147,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
148,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
149,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
150,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
151,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
152,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
153,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
154,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
155,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
156,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
157,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
158,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
159,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
160,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
161,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
162,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
163,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
164,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
165,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
166,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
167,7,7.0,True,"[0, 1, 2, 3, 4, 5, 6]"
