n,a,m2,is_valid,contagious_set
180,12,,False,
181,12,4.0,True,"[0, 3, 15, 18]"
182,12,4.0,True,"[0, 3, 15, 18]"
183,12,,False,
184,12,4.0,True,"[0, 3, 15, 18]"
185,12,4.0,True,"[0, 3, 15, 18]"
186,12,,False,
187,12,3.0,True,"[11, 17, 180]"
188,12,4.0,True,"[0, 3, 15, 18]"
189,12,,False,
190,12,3.0,True,"[11, 17, 180]"
191,12,4.0,True,"[0, 3, 15, 18]"
192,12,,False,
193,12,3.0,True,"[11, 17, 180]"
194,12,4.0,True,"[0, 3, 15, 18]"
195,12,,False,
196,12,4.0,True,"[0, 3, 15, 18]"
197,12,4.0,True,"[0, 3, 15, 18]"
198,12,,False,
199,12,4.0,True,"[0, 3, 15, 18]"
200,12,4.0,True,"[0, 3, 15, 18]"
201,12,,False,
202,12,4.0,True,"[0, 3, 15, 18]"
203,12,4.0,True,"[0, 3, 15, 18]"
204,12,,False,
205,12,4.0,True,"[0, 3, 15, 18]"
206,12,4.0,True,"[0, 3, 15, 18]"
207,12,,False,
208,12,4.0,True,"[0, 3, 15, 18]"
209,12,4.0,True,"[0, 3, 15, 18]"
210,12,,False,
211,12,3.0,True,"[1, 194, 206]"
212,12,4.0,True,"[0, 3, 15, 18]"
213,12,,False,
214,12,4.0,True,"[0, 3, 15, 18]"
215,12,4.0,True,"[0, 3, 15, 18]"
216,12,,False,
217,12,4.0,True,"[0, 3, 15, 18]"
218,12,4.0,True,"[0, 3, 15, 18]"
219,12,,False,
220,12,4.0,True,"[0, 3, 15, 18]"
221,12,4.0,True,"[0, 3, 15, 18]"
222,12,,False,
223,12,4.0,True,"[0, 3, 15, 18]"
224,12,4.0,True,"[0, 3, 15, 18]"
225,12,,False,
226,12,4.0,True,"[0, 3, 15, 18]"
227,12,4.0,True,"[0, 3, 15, 18]"
228,12,,False,
229,12,4.0,True,"[0, 3, 15, 18]"
230,12,4.0,True,"[0, 3, 15, 18]"
231,12,,False,
232,12,4.0,True,"[0, 3, 15, 18]"
233,12,4.0,True,"[0, 3, 15, 18]"
234,12,,False,
235,12,4.0,True,"[0, 3, 15, 18]"
236,12,3.0,True,"[1, 207, 222]"
237,12,,False,
238,12,4.0,True,"[0, 3, 15, 18]"
239,12,4.0,True,"[0, 3, 15, 18]"
240,12,,False,
241,12,4.0,True,"[0, 3, 15, 18]"
242,12,4.0,True,"[0, 3, 15, 18]"
243,12,,False,
244,12,4.0,True,"[0, 3, 15, 18]"
245,12,4.0,True,"[0, 3, 15, 18]"
246,12,,False,
247,12,4.0,True,"[0, 3, 15, 18]"
248,12,4.0,True,"[0, 3, 15, 18]"
249,12,,False,
250,12,4.0,True,"[0, 3, 15, 18]"
251,12,4.0,True,"[0, 3, 15, 18]"
252,12,,False,
253,12,4.0,True,"[0, 3, 15, 18]"
254,12,4.0,True,"[0, 3, 15, 18]"
255,12,,False,
256,12,4.0,True,"[0, 3, 15, 18]"
257,12,4.0,True,"[0, 3, 15, 18]"
258,12,,False,
259,12,4.0,True,"[0, 3, 15, 18]"
260,12,4.0,True,"[0, 3, 15, 18]"
261,12,,False,
262,12,4.0,True,"[0, 3, 15, 18]"
263,12,4.0,True,"[0, 3, 15, 18]"
264,12,,False,
265,12,4.0,True,"[0, 3, 15, 18]"
266,12,4.0,True,"[0, 3, 15, 18]"
267,12,,False,
268,12,4.0,True,"[0, 3, 15, 18]"
269,12,4.0,True,"[0, 3, 15, 18]"
270,12,,False,
271,12,4.0,True,"[0, 3, 15, 18]"
272,12,4.0,True,"[0, 3, 15, 18]"
273,12,,False,
274,12,4.0,True,"[0, 3, 15, 18]"
275,12,4.0,True,"[0, 3, 15, 18]"
276,12,,False,
277,12,4.0,True,"[0, 3, 15, 18]"
278,12,4.0,True,"[0, 3, 15, 18]"
279,12,,False,
280,12,4.0,True,"[0, 3, 15, 18]"
281,12,4.0,True,"[0, 3, 15, 18]"
282,12,,False,
283,12,4.0,True,"[0, 3, 15, 18]"
284,12,4.0,True,"[0, 3, 15, 18]"
285,12,,False,
286,12,4.0,True,"[0, 3, 15, 18]"
287,12,4.0,True,"[0, 3, 15, 18]"
288,12,,False,
