n,a,m2,is_valid,contagious_set
5,4,2.0,True,"[0, 1]"
6,4,,False,
7,4,,False,
8,4,,False,
9,4,2.0,True,"[0, 1]"
10,4,2.0,True,"[0, 1]"
11,4,2.0,True,"[0, 1]"
12,4,3.0,True,"[0, 1, 2]"
13,4,2.0,True,"[0, 6]"
14,4,2.0,True,"[0, 7]"
15,4,2.0,True,"[0, 7]"
16,4,3.0,True,"[0, 5, 10]"
17,4,3.0,True,"[0, 5, 10]"
18,4,3.0,True,"[0, 1, 2]"
19,4,3.0,True,"[0, 6, 12]"
20,4,3.0,True,"[0, 6, 12]"
21,4,3.0,True,"[0, 7, 14]"
22,4,3.0,True,"[0, 7, 14]"
23,4,3.0,True,"[2, 13, 18]"
24,4,4.0,True,"[0, 1, 2, 3]"
25,4,4.0,True,"[0, 6, 12, 18]"
26,4,4.0,True,"[0, 6, 12, 18]"
27,4,4.0,True,"[0, 1, 2, 3]"
28,4,4.0,True,"[0, 7, 14, 21]"
29,4,4.0,True,"[0, 7, 14, 21]"
30,4,4.0,True,"[0, 7, 14, 21]"
31,4,4.0,True,"[0, 7, 14, 21]"
32,4,4.0,True,"[0, 1, 2, 3]"
33,4,4.0,True,"[0, 1, 2, 3]"
34,4,4.0,True,"[0, 1, 2, 3]"
35,4,4.0,True,"[0, 1, 2, 3]"
36,4,4.0,True,"[0, 1, 2, 3]"
37,4,4.0,True,"[0, 1, 2, 3]"
38,4,4.0,True,"[0, 1, 2, 3]"
39,4,4.0,True,"[0, 1, 2, 3]"
40,4,4.0,True,"[0, 1, 2, 3]"
41,4,4.0,True,"[0, 1, 2, 3]"
42,4,4.0,True,"[0, 1, 2, 3]"
43,4,4.0,True,"[0, 1, 2, 3]"
44,4,4.0,True,"[0, 1, 2, 3]"
45,4,4.0,True,"[0, 1, 2, 3]"
46,4,4.0,True,"[0, 1, 2, 3]"
47,4,4.0,True,"[0, 1, 2, 3]"
48,4,4.0,True,"[0, 1, 2, 3]"
49,4,4.0,True,"[0, 1, 2, 3]"
50,4,4.0,True,"[0, 1, 2, 3]"
51,4,4.0,True,"[0, 1, 2, 3]"
52,4,4.0,True,"[0, 1, 2, 3]"
53,4,4.0,True,"[0, 1, 2, 3]"
54,4,4.0,True,"[0, 1, 2, 3]"
55,4,4.0,True,"[0, 1, 2, 3]"
56,4,4.0,True,"[0, 1, 2, 3]"
57,4,4.0,True,"[0, 1, 2, 3]"
58,4,4.0,True,"[0, 1, 2, 3]"
59,4,4.0,True,"[0, 1, 2, 3]"
60,4,4.0,True,"[0, 1, 2, 3]"
61,4,4.0,True,"[0, 1, 2, 3]"
62,4,4.0,True,"[0, 1, 2, 3]"
63,4,4.0,True,"[0, 1, 2, 3]"
64,4,4.0,True,"[0, 1, 2, 3]"
65,4,4.0,True,"[0, 1, 2, 3]"
66,4,4.0,True,"[0, 1, 2, 3]"
67,4,4.0,True,"[0, 1, 2, 3]"
68,4,4.0,True,"[0, 1, 2, 3]"
69,4,4.0,True,"[0, 1, 2, 3]"
70,4,4.0,True,"[0, 1, 2, 3]"
71,4,4.0,True,"[0, 1, 2, 3]"
72,4,4.0,True,"[0, 1, 2, 3]"
73,4,4.0,True,"[0, 1, 2, 3]"
74,4,4.0,True,"[0, 1, 2, 3]"
75,4,4.0,True,"[0, 1, 2, 3]"
76,4,4.0,True,"[0, 1, 2, 3]"
77,4,4.0,True,"[0, 1, 2, 3]"
78,4,4.0,True,"[0, 1, 2, 3]"
79,4,4.0,True,"[0, 1, 2, 3]"
80,4,4.0,True,"[0, 1, 2, 3]"
81,4,4.0,True,"[0, 1, 2, 3]"
82,4,4.0,True,"[0, 1, 2, 3]"
83,4,4.0,True,"[0, 1, 2, 3]"
84,4,4.0,True,"[0, 1, 2, 3]"
85,4,4.0,True,"[0, 1, 2, 3]"
86,4,4.0,True,"[0, 1, 2, 3]"
87,4,4.0,True,"[0, 1, 2, 3]"
88,4,4.0,True,"[0, 1, 2, 3]"
89,4,4.0,True,"[0, 1, 2, 3]"
90,4,4.0,True,"[0, 1, 2, 3]"
91,4,4.0,True,"[0, 1, 2, 3]"
92,4,4.0,True,"[0, 1, 2, 3]"
93,4,4.0,True,"[0, 1, 2, 3]"
94,4,4.0,True,"[0, 1, 2, 3]"
95,4,4.0,True,"[0, 1, 2, 3]"
96,4,4.0,True,"[0, 1, 2, 3]"
97,4,4.0,True,"[0, 1, 2, 3]"
98,4,4.0,True,"[0, 1, 2, 3]"
99,4,4.0,True,"[0, 1, 2, 3]"
100,4,4.0,True,"[0, 1, 2, 3]"
101,4,4.0,True,"[0, 1, 2, 3]"
102,4,4.0,True,"[0, 1, 2, 3]"
103,4,4.0,True,"[0, 1, 2, 3]"
104,4,4.0,True,"[0, 1, 2, 3]"
105,4,4.0,True,"[0, 1, 2, 3]"
106,4,4.0,True,"[0, 1, 2, 3]"
107,4,4.0,True,"[0, 1, 2, 3]"
108,4,4.0,True,"[0, 1, 2, 3]"
109,4,4.0,True,"[0, 1, 2, 3]"
110,4,4.0,True,"[0, 1, 2, 3]"
111,4,4.0,True,"[0, 1, 2, 3]"
112,4,4.0,True,"[0, 1, 2, 3]"
113,4,4.0,True,"[0, 1, 2, 3]"
114,4,4.0,True,"[0, 1, 2, 3]"
115,4,4.0,True,"[0, 1, 2, 3]"
116,4,4.0,True,"[0, 1, 2, 3]"
117,4,4.0,True,"[0, 1, 2, 3]"
118,4,4.0,True,"[0, 1, 2, 3]"
119,4,4.0,True,"[0, 1, 2, 3]"
120,4,4.0,True,"[0, 1, 2, 3]"
121,4,4.0,True,"[0, 1, 2, 3]"
122,4,4.0,True,"[0, 1, 2, 3]"
123,4,4.0,True,"[0, 1, 2, 3]"
124,4,4.0,True,"[0, 1, 2, 3]"
125,4,4.0,True,"[0, 1, 2, 3]"
126,4,4.0,True,"[0, 1, 2, 3]"
127,4,4.0,True,"[0, 1, 2, 3]"
128,4,4.0,True,"[0, 1, 2, 3]"
129,4,4.0,True,"[0, 1, 2, 3]"
130,4,4.0,True,"[0, 1, 2, 3]"
131,4,4.0,True,"[0, 1, 2, 3]"
132,4,4.0,True,"[0, 1, 2, 3]"
133,4,4.0,True,"[0, 1, 2, 3]"
134,4,4.0,True,"[0, 1, 2, 3]"
135,4,4.0,True,"[0, 1, 2, 3]"
136,4,4.0,True,"[0, 1, 2, 3]"
137,4,4.0,True,"[0, 1, 2, 3]"
138,4,4.0,True,"[0, 1, 2, 3]"
139,4,4.0,True,"[0, 1, 2, 3]"
140,4,4.0,True,"[0, 1, 2, 3]"
141,4,4.0,True,"[0, 1, 2, 3]"
142,4,4.0,True,"[0, 1, 2, 3]"
143,4,4.0,True,"[0, 1, 2, 3]"
144,4,4.0,True,"[0, 1, 2, 3]"
145,4,4.0,True,"[0, 1, 2, 3]"
146,4,4.0,True,"[0, 1, 2, 3]"
147,4,4.0,True,"[0, 1, 2, 3]"
148,4,4.0,True,"[0, 1, 2, 3]"
149,4,4.0,True,"[0, 1, 2, 3]"
150,4,4.0,True,"[0, 1, 2, 3]"
151,4,4.0,True,"[0, 1, 2, 3]"
152,4,4.0,True,"[0, 1, 2, 3]"
153,4,4.0,True,"[0, 1, 2, 3]"
154,4,4.0,True,"[0, 1, 2, 3]"
155,4,4.0,True,"[0, 1, 2, 3]"
156,4,4.0,True,"[0, 1, 2, 3]"
157,4,4.0,True,"[0, 1, 2, 3]"
158,4,4.0,True,"[0, 1, 2, 3]"
159,4,4.0,True,"[0, 1, 2, 3]"
160,4,4.0,True,"[0, 1, 2, 3]"
161,4,4.0,True,"[0, 1, 2, 3]"
162,4,4.0,True,"[0, 1, 2, 3]"
163,4,4.0,True,"[0, 1, 2, 3]"
164,4,4.0,True,"[0, 1, 2, 3]"
165,4,4.0,True,"[0, 1, 2, 3]"
166,4,4.0,True,"[0, 1, 2, 3]"
167,4,4.0,True,"[0, 1, 2, 3]"
168,4,4.0,True,"[0, 1, 2, 3]"
169,4,4.0,True,"[0, 1, 2, 3]"
170,4,4.0,True,"[0, 1, 2, 3]"
171,4,4.0,True,"[0, 1, 2, 3]"
172,4,4.0,True,"[0, 1, 2, 3]"
173,4,4.0,True,"[0, 1, 2, 3]"
174,4,4.0,True,"[0, 1, 2, 3]"
175,4,4.0,True,"[0, 1, 2, 3]"
176,4,4.0,True,"[0, 1, 2, 3]"
177,4,4.0,True,"[0, 1, 2, 3]"
178,4,4.0,True,"[0, 1, 2, 3]"
179,4,4.0,True,"[0, 1, 2, 3]"
180,4,4.0,True,"[0, 1, 2, 3]"
181,4,4.0,True,"[0, 1, 2, 3]"
182,4,4.0,True,"[0, 1, 2, 3]"
183,4,4.0,True,"[0, 1, 2, 3]"
184,4,4.0,True,"[0, 1, 2, 3]"
185,4,4.0,True,"[0, 1, 2, 3]"
186,4,4.0,True,"[0, 1, 2, 3]"
187,4,4.0,True,"[0, 1, 2, 3]"
188,4,4.0,True,"[0, 1, 2, 3]"
189,4,4.0,True,"[0, 1, 2, 3]"
190,4,4.0,True,"[0, 1, 2, 3]"
191,4,4.0,True,"[0, 1, 2, 3]"
192,4,4.0,True,"[0, 1, 2, 3]"
193,4,4.0,True,"[0, 1, 2, 3]"
194,4,4.0,True,"[0, 1, 2, 3]"
195,4,4.0,True,"[0, 1, 2, 3]"
196,4,4.0,True,"[0, 1, 2, 3]"
197,4,4.0,True,"[0, 1, 2, 3]"
198,4,4.0,True,"[0, 1, 2, 3]"
199,4,4.0,True,"[0, 1, 2, 3]"
200,4,4.0,True,"[0, 1, 2, 3]"
201,4,4.0,True,"[0, 1, 2, 3]"
202,4,4.0,True,"[0, 1, 2, 3]"
203,4,4.0,True,"[0, 1, 2, 3]"
204,4,4.0,True,"[0, 1, 2, 3]"
205,4,4.0,True,"[0, 1, 2, 3]"
206,4,4.0,True,"[0, 1, 2, 3]"
207,4,4.0,True,"[0, 1, 2, 3]"
208,4,4.0,True,"[0, 1, 2, 3]"
209,4,4.0,True,"[0, 1, 2, 3]"
210,4,4.0,True,"[0, 1, 2, 3]"
211,4,4.0,True,"[0, 1, 2, 3]"
212,4,4.0,True,"[0, 1, 2, 3]"
213,4,4.0,True,"[0, 1, 2, 3]"
214,4,4.0,True,"[0, 1, 2, 3]"
215,4,4.0,True,"[0, 1, 2, 3]"
216,4,4.0,True,"[0, 1, 2, 3]"
217,4,4.0,True,"[0, 1, 2, 3]"
218,4,4.0,True,"[0, 1, 2, 3]"
219,4,4.0,True,"[0, 1, 2, 3]"
220,4,4.0,True,"[0, 1, 2, 3]"
