n,a,m2,is_valid,contagious_set
5,18,,False,
6,18,,False,
7,18,,False,
8,18,,False,
9,18,,False,
10,18,,False,
11,18,,False,
12,18,,False,
13,18,,False,
14,18,,False,
15,18,,False,
16,18,,False,
17,18,,False,
18,18,,False,
19,18,2.0,True,"[2, 6]"
20,18,3.0,True,"[0, 1, 2]"
21,18,,False,
22,18,3.0,True,"[0, 7, 14]"
23,18,3.0,True,"[4, 6, 8]"
24,18,,False,
25,18,3.0,True,"[0, 8, 18]"
26,18,3.0,True,"[7, 8, 23]"
27,18,,False,
28,18,4.0,True,"[0, 7, 14, 21]"
29,18,3.0,True,"[2, 3, 10]"
30,18,,False,
31,18,3.0,True,"[2, 17, 28]"
32,18,4.0,True,"[1, 7, 15, 17]"
33,18,,False,
34,18,4.0,True,"[4, 10, 13, 17]"
35,18,4.0,True,"[0, 1, 2, 3]"
36,18,,False,
37,18,4.0,True,"[0, 1, 2, 3]"
38,18,4.0,True,"[3, 5, 7, 31]"
39,18,,False,
40,18,4.0,True,"[3, 5, 15, 36]"
41,18,4.0,True,"[6, 8, 14, 15]"
42,18,,False,
43,18,4.0,True,"[1, 14, 32, 38]"
44,18,4.0,True,"[5, 34, 37, 43]"
45,18,,False,
46,18,4.0,True,"[25, 29, 31, 41]"
47,18,4.0,True,"[17, 23, 29, 40]"
48,18,,False,
49,18,4.0,True,"[0, 12, 24, 36]"
50,18,4.0,True,"[0, 12, 24, 36]"
51,18,,False,
52,18,4.0,True,"[1, 7, 40, 47]"
53,18,5.0,True,"[2, 7, 29, 34, 46]"
54,18,,False,
55,18,5.0,True,"[1, 7, 17, 40, 47]"
56,18,5.0,True,"[10, 34, 38, 40, 46]"
57,18,,False,
58,18,5.0,True,"[10, 23, 29, 40, 53]"
59,18,5.0,True,"[6, 8, 14, 15, 47]"
60,18,,False,
61,18,5.0,True,"[0, 12, 24, 36, 48]"
62,18,4.0,True,"[10, 34, 40, 46]"
63,18,,False,
64,18,5.0,True,"[0, 12, 24, 36, 48]"
65,18,5.0,True,"[14, 20, 37, 55, 58]"
66,18,,False,
67,18,6.0,True,"[3, 12, 27, 29, 35, 64]"
68,18,5.0,True,"[14, 34, 37, 43, 55]"
69,18,,False,
70,18,5.0,True,"[8, 14, 19, 20, 54]"
71,18,5.0,True,"[14, 20, 37, 43, 55]"
72,18,,False,
73,18,5.0,True,"[8, 14, 19, 20, 54]"
74,18,5.0,True,"[0, 2, 14, 41, 62]"
75,18,,False,
76,18,5.0,True,"[0, 15, 30, 45, 60]"
77,18,5.0,True,"[0, 15, 30, 45, 60]"
78,18,,False,
79,18,5.0,True,"[0, 15, 30, 45, 60]"
80,18,5.0,True,"[2, 14, 41, 62, 76]"
81,18,,False,
82,18,5.0,True,"[8, 10, 16, 62, 68]"
83,18,6.0,True,"[14, 20, 34, 37, 43, 55]"
84,18,,False,
85,18,6.0,True,"[11, 13, 17, 54, 69, 75]"
86,18,5.0,True,"[20, 26, 45, 47, 85]"
87,18,,False,
88,18,6.0,True,"[11, 13, 17, 69, 75, 86]"
89,18,5.0,True,"[9, 21, 68, 77, 81]"
90,18,,False,
91,18,5.0,True,"[5, 8, 29, 84, 90]"
92,18,6.0,True,"[0, 15, 30, 45, 60, 75]"
93,18,,False,
94,18,6.0,True,"[0, 15, 30, 45, 60, 75]"
95,18,6.0,True,"[0, 15, 30, 45, 60, 75]"
96,18,,False,
97,18,6.0,True,"[21, 27, 33, 54, 67, 77]"
98,18,5.0,True,"[33, 54, 68, 74, 95]"
99,18,,False,
100,18,7.0,True,"[11, 13, 17, 69, 75, 86, 94]"
101,18,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
102,18,,False,
103,18,6.0,True,"[5, 8, 29, 84, 90, 98]"
104,18,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
105,18,,False,
106,18,5.0,True,"[0, 21, 42, 63, 84]"
107,18,5.0,True,"[0, 21, 42, 63, 84]"
108,18,,False,
109,18,5.0,True,"[0, 21, 42, 63, 84]"
110,18,6.0,True,"[2, 14, 41, 46, 62, 106]"
111,18,,False,
112,18,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
113,18,7.0,True,"[3, 25, 71, 77, 83, 89, 91]"
114,18,,False,
115,18,8.0,True,"[0, 3, 21, 24, 42, 45, 63, 66]"
116,18,7.0,True,"[3, 25, 64, 71, 77, 83, 91]"
117,18,,False,
118,18,7.0,True,"[14, 34, 37, 43, 55, 82, 98]"
119,18,6.0,True,"[2, 14, 46, 106, 112, 118]"
120,18,,False,
121,18,6.0,True,"[39, 46, 103, 106, 112, 118]"
122,18,6.0,True,"[39, 46, 103, 106, 112, 118]"
123,18,,False,
124,18,8.0,True,"[0, 15, 30, 45, 60, 75, 90, 105]"
125,18,6.0,True,"[2, 14, 41, 46, 62, 118]"
126,18,,False,
127,18,6.0,True,"[0, 21, 42, 63, 84, 105]"
128,18,5.0,True,"[24, 67, 88, 91, 97]"
129,18,,False,
130,18,6.0,True,"[0, 21, 42, 63, 84, 105]"
131,18,6.0,True,"[0, 21, 42, 63, 84, 105]"
132,18,,False,
133,18,6.0,True,"[23, 24, 67, 88, 91, 97]"
134,18,6.0,True,"[23, 24, 67, 88, 91, 97]"
135,18,,False,
136,18,6.0,True,"[23, 24, 67, 88, 91, 97]"
137,18,6.0,True,"[23, 24, 67, 88, 91, 97]"
138,18,,False,
139,18,6.0,True,"[23, 24, 67, 88, 91, 97]"
140,18,8.0,True,"[0, 3, 21, 24, 42, 45, 63, 66]"
141,18,,False,
142,18,6.0,True,"[11, 17, 20, 58, 59, 74]"
143,18,6.0,True,"[11, 17, 20, 58, 59, 74]"
144,18,,False,
145,18,7.0,True,"[11, 17, 20, 25, 58, 59, 74]"
146,18,7.0,True,"[11, 17, 20, 25, 58, 59, 74]"
147,18,,False,
148,18,7.0,True,"[0, 21, 42, 63, 84, 105, 126]"
149,18,5.0,True,"[17, 32, 121, 124, 136]"
150,18,,False,
151,18,5.0,True,"[24, 67, 88, 91, 97]"
152,18,6.0,True,"[11, 24, 67, 88, 91, 97]"
153,18,,False,
154,18,6.0,True,"[11, 24, 67, 88, 91, 97]"
155,18,6.0,True,"[1, 40, 71, 108, 114, 150]"
156,18,,False,
157,18,6.0,True,"[11, 17, 20, 58, 59, 74]"
158,18,6.0,True,"[11, 17, 20, 58, 59, 74]"
159,18,,False,
160,18,8.0,True,"[0, 3, 21, 24, 42, 45, 63, 66]"
161,18,7.0,True,"[11, 17, 20, 25, 58, 59, 74]"
162,18,,False,
163,18,7.0,True,"[11, 17, 20, 25, 58, 59, 74]"
164,18,7.0,True,"[11, 17, 20, 49, 58, 59, 74]"
165,18,,False,
166,18,7.0,True,"[11, 17, 20, 49, 58, 59, 74]"
167,18,7.0,True,"[11, 17, 20, 49, 58, 59, 74]"
168,18,,False,
169,18,7.0,True,"[11, 17, 20, 49, 58, 59, 74]"
170,18,8.0,True,"[0, 21, 42, 63, 84, 105, 126, 147]"
171,18,,False,
172,18,6.0,True,"[6, 50, 139, 143, 154, 166]"
173,18,8.0,True,"[0, 21, 42, 63, 84, 105, 126, 147]"
174,18,,False,
