n,a,m2,is_valid,contagious_set
5,15,,False,
6,15,,False,
7,15,,False,
8,15,,False,
9,15,,False,
10,15,,False,
11,15,,False,
12,15,,False,
13,15,,False,
14,15,,False,
15,15,,False,
16,15,2.0,True,"[8, 12]"
17,15,3.0,True,"[0, 5, 10]"
18,15,,False,
19,15,3.0,True,"[0, 6, 12]"
20,15,3.0,True,"[0, 6, 12]"
21,15,,False,
22,15,3.0,True,"[3, 17, 21]"
23,15,3.0,True,"[5, 6, 11]"
24,15,,False,
25,15,3.0,True,"[7, 13, 14]"
26,15,3.0,True,"[3, 21, 23]"
27,15,,False,
28,15,3.0,True,"[0, 9, 18]"
29,15,3.0,True,"[0, 9, 18]"
30,15,,False,
31,15,3.0,True,"[8, 14, 20]"
32,15,3.0,True,"[17, 23, 29]"
33,15,,False,
34,15,3.0,True,"[1, 7, 17]"
35,15,3.0,True,"[10, 21, 27]"
36,15,,False,
37,15,3.0,True,"[17, 23, 29]"
38,15,3.0,True,"[2, 16, 22]"
39,15,,False,
40,15,3.0,True,"[14, 32, 38]"
41,15,3.0,True,"[4, 13, 36]"
42,15,,False,
43,15,3.0,True,"[8, 14, 32]"
44,15,4.0,True,"[5, 34, 37, 43]"
45,15,,False,
46,15,3.0,True,"[8, 14, 32]"
47,15,4.0,True,"[5, 34, 37, 43]"
48,15,,False,
49,15,3.0,True,"[8, 14, 32]"
50,15,3.0,True,"[8, 14, 32]"
51,15,,False,
52,15,3.0,True,"[8, 14, 32]"
53,15,4.0,True,"[14, 26, 28, 34]"
54,15,,False,
55,15,3.0,True,"[1, 32, 38]"
56,15,4.0,True,"[16, 22, 38, 54]"
57,15,,False,
58,15,3.0,True,"[14, 32, 38]"
59,15,3.0,True,"[14, 32, 38]"
60,15,,False,
61,15,3.0,True,"[14, 32, 38]"
62,15,3.0,True,"[14, 32, 38]"
63,15,,False,
64,15,4.0,True,"[6, 12, 52, 59]"
65,15,4.0,True,"[0, 20, 41, 47]"
66,15,,False,
67,15,5.0,True,"[7, 28, 29, 34, 41]"
68,15,5.0,True,"[14, 34, 37, 43, 55]"
69,15,,False,
70,15,5.0,True,"[6, 11, 17, 63, 65]"
71,15,4.0,True,"[2, 8, 43, 70]"
72,15,,False,
73,15,4.0,True,"[0, 18, 36, 54]"
74,15,4.0,True,"[0, 18, 36, 54]"
75,15,,False,
76,15,4.0,True,"[8, 10, 62, 68]"
77,15,4.0,True,"[8, 20, 54, 76]"
78,15,,False,
79,15,4.0,True,"[2, 8, 43, 75]"
80,15,4.0,True,"[3, 64, 71, 77]"
81,15,,False,
82,15,4.0,True,"[11, 54, 69, 75]"
83,15,5.0,True,"[9, 21, 68, 77, 81]"
84,15,,False,
85,15,4.0,True,"[0, 67, 69, 76]"
86,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
87,15,,False,
88,15,4.0,True,"[0, 41, 67, 76]"
89,15,4.0,True,"[3, 25, 71, 83]"
90,15,,False,
91,15,5.0,True,"[0, 18, 36, 54, 72]"
92,15,5.0,True,"[0, 18, 36, 54, 72]"
93,15,,False,
94,15,5.0,True,"[0, 18, 36, 54, 72]"
95,15,5.0,True,"[37, 46, 73, 79, 80]"
96,15,,False,
97,15,5.0,True,"[37, 46, 73, 79, 80]"
98,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
99,15,,False,
100,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
101,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
102,15,,False,
103,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
104,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
105,15,,False,
106,15,5.0,True,"[5, 8, 29, 84, 90]"
107,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
108,15,,False,
109,15,3.0,True,"[0, 97, 103]"
110,15,5.0,True,"[2, 14, 46, 103, 106]"
111,15,,False,
112,15,6.0,True,"[0, 18, 36, 54, 72, 90]"
113,15,6.0,True,"[0, 18, 36, 54, 72, 90]"
114,15,,False,
115,15,4.0,True,"[5, 8, 84, 90]"
116,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
117,15,,False,
118,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
119,15,5.0,True,"[4, 7, 29, 99, 105]"
120,15,,False,
121,15,4.0,True,"[0, 97, 103, 111]"
122,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
123,15,,False,
124,15,6.0,True,"[0, 3, 18, 21, 36, 39]"
